sustancia_retc,cas,umbral_mpu_kg_anual,umbral_emision_transferencia_kg_anual,fuente_normativa,aplicable_columna_umbral,notas
Aldrin,309-00-2,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Alfa endosulfan,959-98-8,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Anilina,62-53-3,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Antimonio trióxido,1309-64-4,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Arsénico,7440-38-2,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)","Nota 4: en forma de polvos, respirables, vapores o humos"
Asbesto y sus formas,1332-21-4,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)","Nota 5: en forma de polvo, fibras o productos desmenuzables con la presión de la mano"
Azida de sodio,26628-22-8,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Benceno,71-43-2,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Bencidina,92-87-5,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Bensulida,741-58-2,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Benzo(a)antraceno,56-55-3,50,5,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Benzo(a)pireno,50-32-8,50,5,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Benzo(b)fluoranteno,205-99-2,50,5,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Benzo(k)fluoranteno,207-08-9,50,5,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Berilio,7440-41-7,2500,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)","Nota 4: en forma de polvos, respirables, vapores o humos"
Beta endosulfan,33213-65-9,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Beta-naftilamina,91-59-8,50,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Bifenilo,92-52-4,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Bifenilos policlorados,1336-36-3,5,Cualquier cantidad superior a cero,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Bifentrina,82657-04-3,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Bióxido de carbono,124-38-9,100000,,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Bióxido de nitrógeno,10102-44-0,100000,,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Bromoclorometano,74-97-5,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Bromoformo,75-25-2,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Bromoxynil,1689-84-5,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Bromuro de metilo,74-83-9,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Butadieno,106-99-0,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Cadmio,7440-43-9,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)","Nota 4: en forma de polvos, respirables, vapores o humos"
Carbofenotion,786-19-6,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Cialotrin,68085-85-8,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Cianuro de hidrógeno,74-90-8,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Cianuros inorgánicos/orgánicos,57-12-5,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Clordano,57-74-9,5,10,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Clorhexidina,55-56-1,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Cloroacetato de etilo,105-39-5,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Clorobenceno (mono clorobenceno),108-90-7,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Clorodifluorometano (HCFC-22),75-45-6,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Clorofacinona,3691-35-8,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Cloroformo,67-66-3,5000,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Clorometano,74-87-3,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Clorotalonil,1897-45-6,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Clorpirifos,2921-88-2,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Cloruro de metileno,75-09-2,5000,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Cloruro de talio,7791-12-0,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Cloruro de vinilo,75-01-4,2500,100,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Compuestos de arsénico,,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",Nota 6: compuestos solubles
Compuestos de cadmio,,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",Nota 6: compuestos solubles
Compuestos de cromo,,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",Nota 6: compuestos solubles
Compuestos de mercurio,,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",Nota 6: compuestos solubles
Compuestos de níquel,,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",Nota 6: compuestos solubles
Compuestos de plomo,,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",Nota 6: compuestos solubles
Cromato de potasio,7789-00-6,2500,500,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
Cromo,7440-47-3,5,1,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)","Nota 4: en forma de polvos, respirables, vapores o humos"
Cumeno,98-82-8,5000,1000,NOM-165-SEMARNAT-2013,"Manufactura, procesos y otros usos (MPU)",
